,birth,bookDate
0,1928,1974
1,1954,1989
2,1966,2002
3,1948,1998
4,1937,1980
5,1962,1997
6,1964,2001
7,1962,1989
8,1962,1997
9,1949,1977
10,1956,1995
11,1963,1994
12,1937,1999
13,1947,1987
14,1941,1964
15,1955,1986
16,1924,1963
17,1922,1968
18,1917,1951
19,1969,2010
20,1941,1981
21,1967,1999
22,1947,2007
23,1970,2003
24,1940,1975
25,1979,2011
26,1967,2002
27,1910,1953
28,1926,1996
29,1956,2007
30,1945,1980
31,1975,2004
32,1970,2014
33,1956,1998
34,1977,2009
35,1927,1959
36,1972,2003
37,1960,1993
38,1954,1985
39,1955,1997
40,1938,1971
41,1960,2002
42,1957,1995
43,1922,1952
44,1930,1967
45,1895,1936
46,1937,1966
47,1955,1997
48,1964,2002
49,1890,1946
50,1949,1981
51,1962,1999
52,1947,1997
53,1940,1966
54,1942,1962
55,1906,1938
56,1951,2003
57,1942,1999
58,1929,1966
59,1931,1964
60,1949,1974
61,1945,1992
62,1937,1970
63,1988,2014
64,1981,2013
65,1885,1937
66,1956,2005
67,1923,1953
68,1885,1911
69,1947,1981
70,1945,1979
71,1931,1973
72,1975,2014
73,1967,2008
74,1933,1977
75,1956,1994
76,1965,1994
77,1953,2005
78,1966,2000
79,1956,1995
80,1910,1948
81,1951,1991
82,1975,2006
83,1929,1990
84,1916,1970
85,1879,1905
86,1969,1997
87,1980,2012
88,1921,1963
89,1952,2001
90,1938,2004
91,1920,1956
92,1926,1980
93,1948,1977
94,1928,1971
95,1955,2010
96,1963,1984
97,1952,1994
98,1951,1982
99,1957,2010
100,1939,1969
101,1920,1988
102,1945,2003
103,1914,1953
104,1957,1990
105,1943,1999
106,1959,2004
107,1932,1986
108,1963,1993
109,1930,1962
110,1929,1991
111,1964,2001
112,1907,1980
113,1947,1993
114,1904,1961
115,1915,1958
116,1962,2006
117,1953,1992
118,1957,1987
119,1955,1989
120,1960,2006
121,1967,2001
122,1958,2010
123,1943,1996
124,1936,1976
125,1941,1991
126,1951,2000
127,1954,1982
128,1977,2005
129,1931,1973
130,1969,2000
131,1948,1982
132,1958,2010
133,1978,2015
134,1954,1981
135,1970,2000
136,1926,1974
137,1908,1949
138,1942,1972
139,1914,1964
140,1950,1996
141,1951,2015
142,1971,2004
143,1952,2009
144,1948,2002
145,1934,1969
146,1960,1998
147,1970,1999
148,1931,1973
149,1965,2011
150,1971,2007
151,1929,1961
152,1958,2008
153,1969,2006
154,1953,1998
155,1948,1976
156,1938,1985
157,1917,1955
158,1973,2006
159,1951,1987
160,1926,1954
161,1960,1992
162,1905,1946
163,1913,1970
164,1915,1949
165,1965,2009
166,1967,2015
167,1920,1986
168,1955,1995
169,1921,1982
170,1918,1945
171,1952,1985
172,1919,1974
173,1948,1982
174,1956,1991
175,1942,1961
176,1951,1994
177,1965,2001
178,1958,2014
179,1950,1990
180,1939,1982
181,1953,1985
182,1969,2007
183,1954,1991
184,1917,1956
